molecule_id,original_smiles,fragment_smiles,dealed_smiles
383,[*]N1CCN(CC1)C2=NC(=NC3=CN=C(C=C32)NC4=NC=C(C=C4)N5CCC(CC5)N(C)C)NC6=CC=C(C=C6)F,*N1CCNCC1,CN(C)C1CCN(c2ccc(Nc3cc4c(N5CC[NH:1]CC5)nc(Nc5ccc(F)cc5)nc4cn3)nc2)CC1
384,[*]S(=O)(=O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=[N+](C3=C2N=C(NC3=O)N)CC4=CC=CC=C4)O)O,*[SH](=O)=O,Nc1nc2c(c(=O)[nH]1)[n+](Cc1ccccc1)cn2[C@@H]1O[C@H](COS(=O)(=O)[OH:1])[C@@H](O)[C@H]1O
385,[*]O[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC[C@@H]4[C@@]3(CCC(=O)C4)C)C,*O,C[C@]12CCC(=O)C[C@@H]1CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@@H]2[OH:1]
386,[*]NS(=O)(=O)C1=CC=C(C=C1)NC2=NN(C(=N2)N)C(=O)C3=C(C=CS3)C,*N,Cc1ccsc1C(=O)n1nc(Nc2ccc(S(=O)(=O)[NH2:1])cc2)nc1N
387,[*]C1=CC=C(C=C1)CNC2=C(C=CC(=C2)C(=O)NO)Cl,*c1ccccc1,O=C(NO)c1ccc(Cl)c(NCc2ccc([Br:1])cc2)c1
388,[*]N1CCC(CC1)C2=CC(=C(C=C2C)NC3=NC=C(C(=N3)NC4=CC=CC=C4S(=O)(=O)C(C)C)Cl)OC(C)C,*N1CCCCC1,Cc1cc(Nc2ncc(Cl)c(Nc3ccccc3S(=O)(=O)C(C)C)n2)c(OC(C)C)cc1C1CC[NH:1]CC1
389,[*]C(=O)CCCCC(=O)NCCN1C(=O)C2=C3C(=C(C=C2)SC4=CC=C(C=C4)Br)C=CC=C3C1=O,*C(C)=O,O=C(CCCCC(=O)[OH:1])NCCN1C(=O)c2cccc3c(Sc4ccc(Br)cc4)ccc(c23)C1=O
390,[*]NC(=O)C1=NC2=C(C3=CC(=C(C=C3N2)C4=C(ON=C4C)C)OC)C(=N1)NC5=CC(=NN5CC)C6CC6,*NC=O,CCn1nc(C2CC2)cc1Nc1nc(C(=O)[OH:1])nc2[nH]c3cc(-c4c(C)noc4C)c(OC)cc3c12
391,[*]C(=O)N(CC1=CC(=C(C(=C1)F)F)F)C(C2=C(NC3=C2C=CC(=C3)Cl)C(=O)OCC)C(=O)NC(C)(C)C,*C(N)=O,CCOC(=O)c1[nH]c2cc(Cl)ccc2c1C(C(=O)NC(C)(C)C)[NH:1]Cc1cc(F)c(F)c(F)c1
392,[*]C(=O)NC1=CC=C(C=C1)C(=O)NNCCC,*C(N)=O,CCCNNC(=O)c1ccc([NH2:1])cc1
393,[*]N(C)CC[C@H](CSC1=CC=CC=C1)NC2=C(C=C(C=C2)S(=O)(=O)NC(=O)C3=CC=C(C=C3)N4CCN(CC4)CC5=C(CCC(C5)(C)C)C6=CC=C(C=C6)Cl)S(=O)(=O)C(F)(F)F,*N,CC1(C)CCC(c2ccc(Cl)cc2)=C(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(N[C@H](CC[NH:1]C)CSc5ccccc5)c(S(=O)(=O)C(F)(F)F)c4)cc3)CC2)C1
394,[*]P(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=C(NC3=O)N)O)O,*P,Nc1nc2c(ncn2[C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)[OH:1])[C@@H](O)[C@H]2O)c(=O)[nH]1
395,[*]NC(=O)C1=CC2=C(N1)C(=O)N(C=C2C3=CC=CC=C3OC4CC4)C,*NC=O,Cn1cc(-c2ccccc2OC2CC2)c2cc(C(=O)[OH:1])[nH]c2c1=O
396,[*]N1C(=O)/C(=C/C2=CC(=C(C=C2)OC3=C(C=C(C=C3)C#N)C(F)(F)F)OC)/SC1=O,*N1CSCC1=O,COc1cc(/C=C2\SC(=O)[NH:1]C2=O)ccc1Oc1ccc(C#N)cc1C(F)(F)F
397,[*]N1C=C(C2=C(N=CN=C21)N)C3=CC=C(C=C3)NC(=O)NC4=NOC(=C4)C(C)(C)C,*n1ccc2cncnc21,CC(C)(C)c1cc(NC(=O)Nc2ccc(-c3c[n:1]c4ncnc(N)c34)cc2)no1
