protac,warhead,linker_id,e3_ligand
CC1=C(C2=CC=C(CNC(=O)[C@@H]3C[C@@H](O)CN3C(=O)[C@@H](NC(=O)CCCN3CCN(C4=CC=C(C#CC5=CC=C(N6C(=S)N(C7=CC=C(C#N)C(C(F)(F)F)=C7)C(=O)C6(C)C)C=C5)C=N4)CC3)C(C)(C)C)C=C2)SC=N1,[R1]C1=CC=C(C=C1)N2C(=S)N(C(=O)C2(C)C)C3=CC(=C(C=C3)C#N)C(F)(F)F,43,[R2]C(=O)N[C@H](C(=O)N1C[C@@H](C[C@H]1C(=O)NCC2=CC=C(C=C2)C3=C(N=CS3)C)O)C(C)(C)C
CC1=NOC([C@H](C(=O)N2C[C@H](O)C[C@H]2C(=O)N[C@@H](CC(=O)NCCCN2CCN(C3=CC=C(C#CC4=CC=C(N5C(=S)N(C6=CC=C(C#N)C(C(F)(F)F)=C6)C(=O)C5(C)C)C=C4)C=N3)CC2)C2=CC=C(C3=C(C)N=CS3)C=C2)C(C)C)=C1,[R1]C1=CC=C(C=C1)N2C(=S)N(C(=O)C2(C)C)C3=CC(=C(C=C3)C#N)C(F)(F)F,43,[R2]NC(=O)C[C@@H](C1=CC=C(C=C1)C2=C(N=CS2)C)NC(=O)[C@@H]3C[C@H](CN3C(=O)[C@@H](C4=CC(=NO4)C)C(C)C)O
CCN1N=C(C2CC2)C=C1NC1=NC(C(=O)NCCCCCCCNC2=CC=CC3=C2C(=O)N(C2CCC(=O)NC2=O)C3=O)=NC2=C1C1=CC(OC)=C(C3=C(C)ON=C3C)C=C1[NH]2,[R1]NC(=O)C1=NC2=C(C3=CC(=C(C=C3N2)C4=C(ON=C4C)C)OC)C(=N1)NC5=CC(=NN5CC)C6CC6,27,[R2]NC1=CC=CC2=C1C(=O)N(C2=O)C3CCC(=O)NC3=O
CCN1N=C(C2CC2)C=C1NC1=NC(C(=O)NCCCNC2=CC=CC3=C2C(=O)N(C2CCC(=O)NC2=O)C3=O)=NC2=C1C1=CC(OC)=C(C3=C(C)ON=C3C)C=C1[NH]2,[R1]NC(=O)C1=NC2=C(C3=CC(=C(C=C3N2)C4=C(ON=C4C)C)OC)C(=N1)NC5=CC(=NN5CC)C6CC6,25,[R2]NC1=CC=CC2=C1C(=O)N(C2=O)C3CCC(=O)NC3=O
CCN1N=C(C2CC2)C=C1NC1=NC(C(=O)NCCCCCCC2=CC=CC3=C2C(=O)N(C2CCC(=O)NC2=O)C3=O)=NC2=C1C1=CC(OC)=C(C3=C(C)ON=C3C)C=C1[NH]2,[R1]NC(=O)C1=NC2=C(C3=CC(=C(C=C3N2)C4=C(ON=C4C)C)OC)C(=N1)NC5=CC(=NN5CC)C6CC6,26,[R2]C1=C2C(=CC=C1)C(=O)N(C2=O)C3CCC(=O)NC3=O
CCN1N=C(C2CC2)C=C1NC1=NC(C(=O)NCCCCCC2=CC=CC3=C2CN(C2CCC(=O)NC2=O)C3=O)=NC2=C1C1=CC(OC)=C(C3=C(C)ON=C3C)C=C1[NH]2,[R1]C1=NC2=C(C3=CC(=C(C=C3N2)C4=C(ON=C4C)C)OC)C(=N1)NC5=CC(=NN5CC)C6CC6,55,[R2]C1=C2CN(C(=O)C2=CC=C1)C3CCC(=O)NC3=O
COC1=CC2=C(C=C1C1=C(C)ON=C1C)[NH]C1=NC(C(=O)NCCCCCC3=CC=CC4=C3CN(C3CCC(=O)NC3=O)C4=O)=NC=C12,[R1]NC(=O)C1=NC=C2C3=CC(=C(C=C3NC2=N1)C4=C(ON=C4C)C)OC,15,[R2]C1=C2CN(C(=O)C2=CC=C1)C3CCC(=O)NC3=O
CC1=C(C)C2=C(S1)N1C(C)=NN=C1[C@H](CC(=O)NCCN1C=C(COCCOCCOCCOC3=CC=CC4=C3C(=O)N(C3CCC(=O)NC3=O)C4=O)N=N1)N=C2C1=CC=C(Cl)C=C1,[R1]C(=O)C[C@H]1C2=NN=C(N2C3=C(C(=C(S3)C)C)C(=N1)C4=CC=C(C=C4)Cl)C,59,[R2]C1=C2C(=CC=C1)C(=O)N(C2=O)C3CCC(=O)NC3=O
CC1=C(C2=CC=C(CNC(=O)[C@@H]3C[C@@H](O)CN3C(=O)[C@@H](NC(=O)CCCCOCCCCCOCCCCCCNC3=CC=CC4=C3C(=O)N(C3CCC(=O)NC3=O)C4=O)C(C)(C)C)C=C2)SC=N1,[R1]NC1=CC=CC2=C1C(=O)N(C2=O)C3CCC(=O)NC3=O,72,[R2]C(=O)N[C@H](C(=O)N1C[C@@H](C[C@H]1C(=O)NCC2=CC=C(C=C2)C3=C(N=CS3)C)O)C(C)(C)C
CC1=C(C2=CC=C(CNC(=O)[C@@H]3C[C@@H](O)CN3C(=O)[C@@H](NC(=O)CCCCCOCCOCCOCCOCCOCCOCCCCCCNC3=CC=CC4=C3C(=O)N(C3CCC(=O)NC3=O)C4=O)C(C)(C)C)C=C2)SC=N1,[R1]NC1=CC=CC2=C1C(=O)N(C2=O)C3CCC(=O)NC3=O,75,[R2]C(=O)N[C@H](C(=O)N1C[C@@H](C[C@H]1C(=O)NCC2=CC=C(C=C2)C3=C(N=CS3)C)O)C(C)(C)C
